id,titre,type_de_produit,poid_total_du_bijoux,pierre_principale,forme_pierre_principale,couleur_pierre_principale,carat_pierre_principale,nombre_de_pierres,nom_pierre_d_ornements,couleur_pierre_d_ornements,caratage_pierre_d_ornement,prix,description,en_ligne
66,Bague diamant jaune - Aélia,Bague,7.1,Diamant,Rond,Jaune,1,18,Diamant,"Jaune, Blanc","1,15",8750,,TRUE
67,Bague diamant jaune - Lysandra,Bague,"6,5",Diamant,Carre,Jaune,"0,6",75,Diamant,Blanc,"1,3",5750,,TRUE
68,Bague saphire bleu - Cléa,Bague,"7,2",Saphir,Ovale ,Blanc,"2,75",34,Saphir,Bleu,"1,6",6900,,TRUE
69,Bague saphir bleu - Isaline,Bague,"7,6",Saphir,Ovale,Blanc,"0,95",175,Saphir,Bleu,"2,2",6900,,TRUE
70,Bague saphire bleu - Saphira ,Bague,"9,1",Saphir,Ovale et rond ,Bleu,"6,15","6,15",Diamant,Blanc,"0,85",9300,,TRUE
71,Bague rubis - Elaya,Bague,"4,1",Rubis,Rond,Rouge,"1,2",36,"Saphir, Diamant","Bleu, Blanc","0,6 - 0,45",2850,,TRUE
72,Bague rubis - Orphée,Bague,"7,1",Rubis,Ovale  ,Bleu,"0,6",6,Diamant,Blanc,"0,6",4950,,TRUE
73,Bague tourmaline - Naïa,Bague,"4,9",Tourmaline,Rond ,Bleu,"1,8",10,Diamant,Blanc,"0,8",5100,,TRUE
74,Bague émeraude verte - Green tea,Bague,"7,6",Émeraude,Ovale,Vert,"1,8",18,Diamant,Blanc,"2,45",4350,,TRUE
75,Bague en diamant blanc - Élénor,Bague,"5,8",Diamant,Rond ,Blanc,"0,95",18,Diamant,Blanc,"0,95",3950,,TRUE
76,Bague en Péridot vert - Céleste,Bague,"6,9",Péridot,Poire,Vert,"3,2",33,Diamant,Blanc,"1,6",4800,,TRUE
77,Bague en diamant blanc - Ariane,Bague,"6,6",Diamant,Ronde,Blanc,2,44,Diamant,Blanc,"0,6",11800,,TRUE
78,Bague en émeraude verte - Esmée,Bague,"6,6",Émeraude,Ovale,Vert,"2,95",6,Diamant,Blanc,"0,3",4850,,TRUE
79,Bague en émeraude verte - Serena,Bague,"6,6",Émeraude,Ovale,Vert,"2,15",20,Diamant,Blanc,"0,8",4450,,TRUE
80,Bague en émeraude verte - Daphné,Bague,"5,8",Émeraude,Ovale,Vert,"2,85",35,Diamant,Blanc,"0,95",4650,,TRUE
81,Bague en saphir bleu - Isolde,Bague,"9,15",Saphir,Triangle,Bleu,"2,8",54,Diamant,Blanc,"2,95",8100,,TRUE
82,Bague en Diamant jaune - Clémence,Bague,"14,6",Diamant,Poire,Jaune,"10,8",56,Diamant,Blanc,"0,95",9800,,TRUE
83,Bague en saphir bleu - Mathilde,Bague,"16,3",Saphir,Ronde,Bleu,"11,2",40,Diamant,Blanc,"0,65",10800,,TRUE
84,Bague en rubis rouge - Alizée,Bague,"8,8",Rubis,Carré,Rouge,"0,8",40,Diamant,Blanc,"1,7",7400,,TRUE
85,Bague en saphir bleu - Élise,Bague,"8,3",Saphir,Rond,Bleu,"3,1",35,Diamant,Blanc,"2,6",4820,,TRUE
86,Bague Rubis - Flora,Bague,"4,6",Rubis,Rond ,Rouge,"0,15",66,Diamant,Blanc,"1,45",3900,,TRUE
